Owner_Name,Account_Name,Stage,Closing_Date,Amount,Close_Month,Close_Year,Year,Month,Month_Name,Day_of_Week,Quarter
Gladys Colclough,Finhigh,Won,2017-03-17,2972.0,3.0,2017.0,2017.0,3.0,Mar,Friday,Q1
Markita Hansen,Lexiqvolax,Engaging,,472.0,-1.0,-1.0,,,,,
Markita Hansen,Y-corporation,Won,2017-03-01,523.0,3.0,2017.0,2017.0,3.0,Mar,Wednesday,Q1
Anna Snelling,Statholdings,Won,2017-03-25,3647.0,3.0,2017.0,2017.0,3.0,Mar,Saturday,Q1
Cassey Cress,Umbrella Corporation,Won,2017-03-01,4200.0,3.0,2017.0,2017.0,3.0,Mar,Wednesday,Q1
Daniell Hammack,J-Texon,Engaging,,472.0,-1.0,-1.0,,,,,
Kami Bicknell,Bubba Gump,Engaging,,472.0,-1.0,-1.0,,,,,
Kami Bicknell,Faxquote,Won,2017-03-28,1059.0,3.0,2017.0,2017.0,3.0,Mar,Tuesday,Q1
Marty Freudenburg,Codehow,Lost,2017-03-05,0.0,3.0,2017.0,2017.0,3.0,Mar,Sunday,Q1
Versie Hillebrand,Dontechi,Won,2017-03-02,57.0,3.0,2017.0,2017.0,3.0,Mar,Thursday,Q1
Vicki Laflamme,Konex,Won,2017-03-27,3671.0,3.0,2017.0,2017.0,3.0,Mar,Monday,Q1
Anna Snelling,Treequote,Won,2017-03-01,58.0,3.0,2017.0,2017.0,3.0,Mar,Wednesday,Q1
Cecily Lampkin,Treequote,Won,2017-03-06,3956.0,3.0,2017.0,2017.0,3.0,Mar,Monday,Q1
Corliss Cosme,Betasoloin,Won,2017-03-01,5964.0,3.0,2017.0,2017.0,3.0,Mar,Wednesday,Q1
Corliss Cosme,Betasoloin,Won,2017-03-06,4570.0,3.0,2017.0,2017.0,3.0,Mar,Monday,Q1
Darcel Schlecht,Domzoom,Won,2017-03-27,49.0,3.0,2017.0,2017.0,3.0,Mar,Monday,Q1
Violet Mclelland,Donquadtech,Won,2017-03-06,65.0,3.0,2017.0,2017.0,3.0,Mar,Monday,Q1
Anna Snelling,Domzoom,Lost,2017-03-27,0.0,3.0,2017.0,2017.0,3.0,Mar,Monday,Q1
Darcel Schlecht,Finhigh,Won,2017-03-08,4739.0,3.0,2017.0,2017.0,3.0,Mar,Wednesday,Q1
Niesha Huffines,Globex Corporation,Won,2017-03-21,1080.0,3.0,2017.0,2017.0,3.0,Mar,Tuesday,Q1
Reed Clapper,Plussunin,Won,2017-03-12,57.0,3.0,2017.0,2017.0,3.0,Mar,Sunday,Q1
Garret Kinder,Konex,Won,2017-03-16,469.0,3.0,2017.0,2017.0,3.0,Mar,Thursday,Q1
Kary Hendrixson,Condax,Won,2017-03-03,532.0,3.0,2017.0,2017.0,3.0,Mar,Friday,Q1
Markita Hansen,Opentech,Engaging,,472.0,-1.0,-1.0,,,,,
Rosalina Dieter,Konex,Won,2017-03-26,538.0,3.0,2017.0,2017.0,3.0,Mar,Sunday,Q1
Rosie Papadopoulos,Massive Dynamic,Won,2017-03-21,4829.0,3.0,2017.0,2017.0,3.0,Mar,Tuesday,Q1
Zane Levy,Doncon,Won,2017-03-11,5370.0,3.0,2017.0,2017.0,3.0,Mar,Saturday,Q1
Zane Levy,Hatfan,Won,2017-03-21,6499.0,3.0,2017.0,2017.0,3.0,Mar,Tuesday,Q1
Darcel Schlecht,Genco Pura Olive Oil Company,Won,2017-03-06,1161.0,3.0,2017.0,2017.0,3.0,Mar,Monday,Q1
Kary Hendrixson,Scotfind,Won,2017-03-26,576.0,3.0,2017.0,2017.0,3.0,Mar,Sunday,Q1
Maureen Marcano,Hatfan,Won,2017-03-19,979.0,3.0,2017.0,2017.0,3.0,Mar,Sunday,Q1
Versie Hillebrand,Stanredtax,Won,2017-03-07,43.0,3.0,2017.0,2017.0,3.0,Mar,Tuesday,Q1
Gladys Colclough,Scottech,Won,2017-03-07,57.0,3.0,2017.0,2017.0,3.0,Mar,Tuesday,Q1
Lajuana Vencill,Ron-tech,Lost,2017-03-28,0.0,3.0,2017.0,2017.0,3.0,Mar,Tuesday,Q1
Lajuana Vencill,Funholding,Won,2017-03-12,948.0,3.0,2017.0,2017.0,3.0,Mar,Sunday,Q1
Wilburn Farren,Plussunin,Won,2017-03-10,3012.0,3.0,2017.0,2017.0,3.0,Mar,Friday,Q1
Cassey Cress,Zotware,Won,2017-03-15,3665.0,3.0,2017.0,2017.0,3.0,Mar,Wednesday,Q1
Violet Mclelland,Gekko & Co,Won,2017-03-24,564.0,3.0,2017.0,2017.0,3.0,Mar,Friday,Q1
Anna Snelling,dambase,Lost,2017-03-06,0.0,3.0,2017.0,2017.0,3.0,Mar,Monday,Q1
Cassey Cress,Initech,Won,2017-03-22,3463.0,3.0,2017.0,2017.0,3.0,Mar,Wednesday,Q1
Corliss Cosme,Gekko & Co,Won,2017-03-26,513.0,3.0,2017.0,2017.0,3.0,Mar,Sunday,Q1
Corliss Cosme,Konex,Won,2017-03-28,590.0,3.0,2017.0,2017.0,3.0,Mar,Tuesday,Q1
Darcel Schlecht,Dontechi,Won,2017-03-30,4511.0,3.0,2017.0,2017.0,3.0,Mar,Thursday,Q1
Lajuana Vencill,Finhigh,Lost,2017-03-02,0.0,3.0,2017.0,2017.0,3.0,Mar,Thursday,Q1
Niesha Huffines,Cancity,Won,2017-03-26,546.0,3.0,2017.0,2017.0,3.0,Mar,Sunday,Q1
Vicki Laflamme,Y-corporation,Won,2017-03-05,46.0,3.0,2017.0,2017.0,3.0,Mar,Sunday,Q1
Darcel Schlecht,Ron-tech,Won,2017-03-09,4891.0,3.0,2017.0,2017.0,3.0,Mar,Thursday,Q1
Hayden Neloms,Golddex,Won,2017-03-03,1040.0,3.0,2017.0,2017.0,3.0,Mar,Friday,Q1
Hayden Neloms,Sonron,Won,2017-03-04,1108.0,3.0,2017.0,2017.0,3.0,Mar,Saturday,Q1
Hayden Neloms,Nam-zim,Won,2017-03-04,59.0,3.0,2017.0,2017.0,3.0,Mar,Saturday,Q1
Jonathan Berthelot,Statholdings,Won,2017-03-30,5406.0,3.0,2017.0,2017.0,3.0,Mar,Thursday,Q1
Kary Hendrixson,Cheers,Won,2017-03-20,515.0,3.0,2017.0,2017.0,3.0,Mar,Monday,Q1
Moses Frase,Treequote,Won,2017-03-06,583.0,3.0,2017.0,2017.0,3.0,Mar,Monday,Q1
Versie Hillebrand,Funholding,Won,2017-03-14,54.0,3.0,2017.0,2017.0,3.0,Mar,Tuesday,Q1
Vicki Laflamme,Plusstrip,Won,2017-03-27,60.0,3.0,2017.0,2017.0,3.0,Mar,Monday,Q1
Zane Levy,Unknown,Engaging,,472.0,-1.0,-1.0,,,,,
Darcel Schlecht,Dontechi,Lost,2017-03-12,0.0,3.0,2017.0,2017.0,3.0,Mar,Sunday,Q1
Darcel Schlecht,Funholding,Lost,2017-03-19,0.0,3.0,2017.0,2017.0,3.0,Mar,Sunday,Q1
Darcel Schlecht,Globex Corporation,Won,2017-03-23,516.0,3.0,2017.0,2017.0,3.0,Mar,Thursday,Q1
Darcel Schlecht,Rangreen,Won,2017-03-22,4829.0,3.0,2017.0,2017.0,3.0,Mar,Wednesday,Q1
Moses Frase,Dontechi,Lost,2017-03-17,0.0,3.0,2017.0,2017.0,3.0,Mar,Friday,Q1
Reed Clapper,Donquadtech,Won,2017-03-02,950.0,3.0,2017.0,2017.0,3.0,Mar,Thursday,Q1
Vicki Laflamme,Xx-holding,Lost,2017-03-09,0.0,3.0,2017.0,2017.0,3.0,Mar,Thursday,Q1
Corliss Cosme,Initech,Won,2017-03-20,513.0,3.0,2017.0,2017.0,3.0,Mar,Monday,Q1
Darcel Schlecht,Condax,Lost,2017-03-09,0.0,3.0,2017.0,2017.0,3.0,Mar,Thursday,Q1
Darcel Schlecht,Ron-tech,Won,2017-03-12,5522.0,3.0,2017.0,2017.0,3.0,Mar,Sunday,Q1
Gladys Colclough,Cancity,Won,2017-03-09,56.0,3.0,2017.0,2017.0,3.0,Mar,Thursday,Q1
James Ascencio,Doncon,Won,2017-03-08,5673.0,3.0,2017.0,2017.0,3.0,Mar,Wednesday,Q1
Kami Bicknell,Xx-holding,Won,2017-03-10,598.0,3.0,2017.0,2017.0,3.0,Mar,Friday,Q1
Marty Freudenburg,Rangreen,Won,2017-03-16,5787.0,3.0,2017.0,2017.0,3.0,Mar,Thursday,Q1
Maureen Marcano,Singletechno,Won,2017-03-08,1070.0,3.0,2017.0,2017.0,3.0,Mar,Wednesday,Q1
Boris Faz,Donquadtech,Won,2017-03-14,3677.0,3.0,2017.0,2017.0,3.0,Mar,Tuesday,Q1
Cassey Cress,Ontomedia,Won,2017-03-30,5425.0,3.0,2017.0,2017.0,3.0,Mar,Thursday,Q1
Daniell Hammack,Unknown,Engaging,,472.0,-1.0,-1.0,,,,,
Donn Cantrell,Yearin,Won,2017-03-23,3415.0,3.0,2017.0,2017.0,3.0,Mar,Thursday,Q1
James Ascencio,Unknown,Engaging,,472.0,-1.0,-1.0,,,,,
Maureen Marcano,Lexiqvolax,Won,2017-03-21,891.0,3.0,2017.0,2017.0,3.0,Mar,Tuesday,Q1
Lajuana Vencill,Codehow,Won,2017-03-12,609.0,3.0,2017.0,2017.0,3.0,Mar,Sunday,Q1
Markita Hansen,Plusstrip,Won,2017-03-16,54.0,3.0,2017.0,2017.0,3.0,Mar,Thursday,Q1
Zane Levy,Labdrill,Won,2017-03-09,1049.0,3.0,2017.0,2017.0,3.0,Mar,Thursday,Q1
Cassey Cress,Gekko & Co,Won,2017-03-07,1152.0,3.0,2017.0,2017.0,3.0,Mar,Tuesday,Q1
Daniell Hammack,Plussunin,Lost,2017-03-20,0.0,3.0,2017.0,2017.0,3.0,Mar,Monday,Q1
Daniell Hammack,Umbrella Corporation,Won,2017-03-28,4799.0,3.0,2017.0,2017.0,3.0,Mar,Tuesday,Q1
Gladys Colclough,dambase,Won,2017-03-12,51.0,3.0,2017.0,2017.0,3.0,Mar,Sunday,Q1
Hayden Neloms,J-Texon,Won,2017-03-03,3426.0,3.0,2017.0,2017.0,3.0,Mar,Friday,Q1
Jonathan Berthelot,Rangreen,Won,2017-03-11,51.0,3.0,2017.0,2017.0,3.0,Mar,Saturday,Q1
Kami Bicknell,Finjob,Won,2017-03-20,564.0,3.0,2017.0,2017.0,3.0,Mar,Monday,Q1
Cecily Lampkin,Isdom,Won,2017-03-01,5882.0,3.0,2017.0,2017.0,3.0,Mar,Wednesday,Q1
Daniell Hammack,Stanredtax,Engaging,,472.0,-1.0,-1.0,,,,,
Donn Cantrell,Plussunin,Won,2017-03-20,5059.0,3.0,2017.0,2017.0,3.0,Mar,Monday,Q1
James Ascencio,Unknown,Engaging,,472.0,-1.0,-1.0,,,,,
Kami Bicknell,Unknown,Engaging,,472.0,-1.0,-1.0,,,,,
Kami Bicknell,Singletechno,Won,2017-03-11,3388.0,3.0,2017.0,2017.0,3.0,Mar,Saturday,Q1
Kary Hendrixson,Unknown,Engaging,,472.0,-1.0,-1.0,,,,,
Markita Hansen,Zoomit,Won,2017-03-10,5410.0,3.0,2017.0,2017.0,3.0,Mar,Friday,Q1
Reed Clapper,Zathunicon,Won,2017-03-28,978.0,3.0,2017.0,2017.0,3.0,Mar,Tuesday,Q1
Vicki Laflamme,Scotfind,Won,2017-03-26,54.0,3.0,2017.0,2017.0,3.0,Mar,Sunday,Q1
Anna Snelling,Betatech,Lost,2017-03-22,0.0,3.0,2017.0,2017.0,3.0,Mar,Wednesday,Q1
Cassey Cress,Bubba Gump,Won,2017-03-14,549.0,3.0,2017.0,2017.0,3.0,Mar,Tuesday,Q1
Corliss Cosme,Mathtouch,Won,2017-03-14,1034.0,3.0,2017.0,2017.0,3.0,Mar,Tuesday,Q1
Donn Cantrell,Vehement Capital Partners,Won,2017-03-03,4998.0,3.0,2017.0,2017.0,3.0,Mar,Friday,Q1
Donn Cantrell,Ontomedia,Won,2017-03-28,3421.0,3.0,2017.0,2017.0,3.0,Mar,Tuesday,Q1
Kary Hendrixson,Doncon,Won,2017-03-04,5425.0,3.0,2017.0,2017.0,3.0,Mar,Saturday,Q1
Vicki Laflamme,Dalttechnology,Won,2017-03-15,55.0,3.0,2017.0,2017.0,3.0,Mar,Wednesday,Q1
Violet Mclelland,Silis,Won,2017-03-14,3558.0,3.0,2017.0,2017.0,3.0,Mar,Tuesday,Q1
Cassey Cress,Plussunin,Engaging,,472.0,-1.0,-1.0,,,,,
Kami Bicknell,Blackzim,Won,2017-03-22,4839.0,3.0,2017.0,2017.0,3.0,Mar,Wednesday,Q1
Markita Hansen,Hottechi,Won,2017-03-25,47.0,3.0,2017.0,2017.0,3.0,Mar,Saturday,Q1
Maureen Marcano,Fasehatice,Won,2017-03-24,1007.0,3.0,2017.0,2017.0,3.0,Mar,Friday,Q1
Niesha Huffines,Inity,Won,2017-03-24,48.0,3.0,2017.0,2017.0,3.0,Mar,Friday,Q1
Versie Hillebrand,Treequote,Won,2017-03-07,49.0,3.0,2017.0,2017.0,3.0,Mar,Tuesday,Q1
Violet Mclelland,Mathtouch,Won,2017-03-18,504.0,3.0,2017.0,2017.0,3.0,Mar,Saturday,Q1
Cassey Cress,Unknown,Engaging,,472.0,-1.0,-1.0,,,,,
Elease Gluck,Unknown,Engaging,,472.0,-1.0,-1.0,,,,,
Jonathan Berthelot,Finhigh,Won,2017-03-21,543.0,3.0,2017.0,2017.0,3.0,Mar,Tuesday,Q1
Kary Hendrixson,Fasehatice,Lost,2017-03-18,0.0,3.0,2017.0,2017.0,3.0,Mar,Saturday,Q1
Kary Hendrixson,Fasehatice,Won,2017-03-28,5149.0,3.0,2017.0,2017.0,3.0,Mar,Tuesday,Q1
Lajuana Vencill,Treequote,Lost,2017-03-09,0.0,3.0,2017.0,2017.0,3.0,Mar,Thursday,Q1
Markita Hansen,Blackzim,Won,2017-03-11,1043.0,3.0,2017.0,2017.0,3.0,Mar,Saturday,Q1
Cassey Cress,Sumace,Lost,2017-03-09,0.0,3.0,2017.0,2017.0,3.0,Mar,Thursday,Q1
James Ascencio,Condax,Won,2017-03-29,437.0,3.0,2017.0,2017.0,3.0,Mar,Wednesday,Q1
Rosalina Dieter,Unknown,Engaging,,472.0,-1.0,-1.0,,,,,
Rosie Papadopoulos,Kinnamplus,Won,2017-03-11,4465.0,3.0,2017.0,2017.0,3.0,Mar,Saturday,Q1
Vicki Laflamme,Konex,Won,2017-03-18,443.0,3.0,2017.0,2017.0,3.0,Mar,Saturday,Q1
Violet Mclelland,Sumace,Lost,2017-03-23,0.0,3.0,2017.0,2017.0,3.0,Mar,Thursday,Q1
Darcel Schlecht,Betatech,Won,2017-03-20,4278.0,3.0,2017.0,2017.0,3.0,Mar,Monday,Q1
Garret Kinder,Kinnamplus,Won,2017-03-06,41.0,3.0,2017.0,2017.0,3.0,Mar,Monday,Q1
Jonathan Berthelot,Isdom,Won,2017-03-28,519.0,3.0,2017.0,2017.0,3.0,Mar,Tuesday,Q1
Kami Bicknell,Unknown,Engaging,,472.0,-1.0,-1.0,,,,,
Maureen Marcano,Kan-code,Won,2017-03-04,524.0,3.0,2017.0,2017.0,3.0,Mar,Saturday,Q1
Zane Levy,Singletechno,Won,2017-03-27,552.0,3.0,2017.0,2017.0,3.0,Mar,Monday,Q1
Gladys Colclough,Konmatfix,Won,2017-03-02,970.0,3.0,2017.0,2017.0,3.0,Mar,Thursday,Q1
Hayden Neloms,Unknown,Engaging,,472.0,-1.0,-1.0,,,,,
Kary Hendrixson,Hottechi,Engaging,,472.0,-1.0,-1.0,,,,,
Kary Hendrixson,Hatfan,Won,2017-03-13,1046.0,3.0,2017.0,2017.0,3.0,Mar,Monday,Q1
Kary Hendrixson,Sunnamplex,Won,2017-03-14,988.0,3.0,2017.0,2017.0,3.0,Mar,Tuesday,Q1
Lajuana Vencill,Codehow,Won,2017-03-22,547.0,3.0,2017.0,2017.0,3.0,Mar,Wednesday,Q1
Markita Hansen,Unknown,Engaging,,472.0,-1.0,-1.0,,,,,
Maureen Marcano,Singletechno,Lost,2017-03-04,0.0,3.0,2017.0,2017.0,3.0,Mar,Saturday,Q1
Versie Hillebrand,Isdom,Won,2017-03-31,54.0,3.0,2017.0,2017.0,3.0,Mar,Friday,Q1
Violet Mclelland,Silis,Won,2017-03-20,57.0,3.0,2017.0,2017.0,3.0,Mar,Monday,Q1
Violet Mclelland,Yearin,Won,2017-03-18,55.0,3.0,2017.0,2017.0,3.0,Mar,Saturday,Q1
Anna Snelling,Stanredtax,Won,2017-03-15,5765.0,3.0,2017.0,2017.0,3.0,Mar,Wednesday,Q1
Daniell Hammack,Bioplex,Won,2017-03-16,639.0,3.0,2017.0,2017.0,3.0,Mar,Thursday,Q1
Kary Hendrixson,Labdrill,Won,2017-03-15,5100.0,3.0,2017.0,2017.0,3.0,Mar,Wednesday,Q1
Markita Hansen,Unknown,Engaging,,472.0,-1.0,-1.0,,,,,
Vicki Laflamme,Fasehatice,Won,2017-03-07,4906.0,3.0,2017.0,2017.0,3.0,Mar,Tuesday,Q1
Boris Faz,Genco Pura Olive Oil Company,Engaging,,472.0,-1.0,-1.0,,,,,
Daniell Hammack,Domzoom,Engaging,,472.0,-1.0,-1.0,,,,,
Donn Cantrell,Opentech,Won,2017-03-07,1037.0,3.0,2017.0,2017.0,3.0,Mar,Tuesday,Q1
James Ascencio,Plexzap,Won,2017-03-15,537.0,3.0,2017.0,2017.0,3.0,Mar,Wednesday,Q1
Kary Hendrixson,Hatfan,Won,2017-03-09,4694.0,3.0,2017.0,2017.0,3.0,Mar,Thursday,Q1
Lajuana Vencill,Konmatfix,Won,2017-03-24,560.0,3.0,2017.0,2017.0,3.0,Mar,Friday,Q1
Moses Frase,dambase,Won,2017-03-13,589.0,3.0,2017.0,2017.0,3.0,Mar,Monday,Q1
